"fed_2012","licences","ratio","age","sex","federation"
117,561,77.6148312119535,"5_9","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,10,0.607127678950883,"0_4","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,272,39.2383150605886,"10_14","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,8,0.944510035419126,"0_4","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,184,6.05701494502601,"20_29","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,168,7.83180271316023,"15_19","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,54,1.73182386709855,"20_29","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,683,47.3516361619523,"5_9","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,1365,10.126187879732,"all","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,2,0.249968753905762,"0_4","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,1704,5.9798076214473,"all","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,44,1.59802426091378,"30_44","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,141,13.9135583185317,"15_19","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,123,4.19308652076089,"30_44","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,330,23.9686228936665,"10_14","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,167,2.93662516705353,"30_44","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,62,2.74166445564694,"45_59","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,5,0.295508274231678,"60_74","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,122,16.9538632573652,"5_9","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,58,8.48325288869387,"10_14","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,24,0.925925925925926,"45_59","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,238,3.86620965252847,"20_29","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,8,0.649561545956479,"60_74","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,27,2.38579128744367,"15_19","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,6,0.811578520221831,"75_99","h","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,2,0.131104555883317,"75_99","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,86,1.77195368195492,"45_59","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,13,0.444672481614503,"60_74","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,339,2.25759190197123,"all","f","Fédération Française de judo-jujitsu, kendo et disciplines associées"
117,8,0.353232073472271,"75_99","all","Fédération Française de judo-jujitsu, kendo et disciplines associées"
119,184,26.5435660703982,"10_14","h","Fédération Française de natation"
119,23,1.39639366158703,"0_4","all","Fédération Française de natation"
119,77,10.6530160486995,"5_9","h","Fédération Française de natation"
119,1174,4.11989093167789,"all","all","Fédération Française de natation"
119,182,12.6178591236828,"5_9","all","Fédération Française de natation"
119,87,8.58496151568976,"15_19","h","Fédération Française de natation"
119,239,34.9568524206523,"10_14","f","Fédération Française de natation"
119,14,1.65289256198347,"0_4","h","Fédération Française de natation"
119,105,14.591439688716,"5_9","f","Fédération Française de natation"
119,56,1.84343933109487,"20_29","h","Fédération Française de natation"
119,574,4.25819182634886,"all","h","Fédération Française de natation"
119,91,1.47825663184912,"20_29","all","Fédération Française de natation"
119,112,9.89661571087744,"15_19","f","Fédération Française de natation"
119,423,30.7234166182452,"10_14","all","Fédération Française de natation"
119,41,1.58179012345679,"45_59","f","Fédération Française de natation"
119,51,1.85225539333188,"30_44","f","Fédération Française de natation"
119,35,1.12247843237869,"20_29","f","Fédération Française de natation"
119,3,0.405789260110916,"75_99","h","Fédération Française de natation"
119,199,9.27695678523146,"15_19","all","Fédération Française de natation"
119,80,2.72721074521034,"30_44","h","Fédération Française de natation"
119,108,2.22524415873408,"45_59","all","Fédération Française de natation"
119,14,0.478878057123311,"60_74","all","Fédération Française de natation"
119,9,1.12485939257593,"0_4","f","Fédération Française de natation"
119,0,0,"75_99","f","Fédération Française de natation"
119,8,0.472813238770686,"60_74","f","Fédération Française de natation"
119,3,0.132462027552102,"75_99","all","Fédération Française de natation"
119,131,2.30358022086235,"30_44","all","Fédération Française de natation"
119,6,0.48717115946736,"60_74","h","Fédération Française de natation"
119,67,2.96276642787654,"45_59","h","Fédération Française de natation"
119,600,3.9957378795951,"all","f","Fédération Française de natation"
123,5422,19.0272986640183,"all","all","Fédération Française de tennis"
123,516,50.9177027827117,"15_19","h","Fédération Française de tennis"
123,2,0.121425535790177,"0_4","all","Fédération Française de tennis"
123,2,0.236127508854782,"0_4","h","Fédération Française de tennis"
123,956,137.911136757069,"10_14","h","Fédération Française de tennis"
123,787,26.8289357060067,"30_44","h","Fédération Française de tennis"
123,627,43.4692179700499,"5_9","all","Fédération Française de tennis"
123,227,8.75771604938272,"45_59","f","Fédération Française de tennis"
